zei;A;B;C
0;0.94;1.38;1.78
5;0.85;1.22;1.78
10;0.76;1.06;1.78
20;0.69;0.92;1.5
40;0.62;0.8;1.26
60;0.58;0.74;1.14
80;0.56;0.7;1.06
100;0.54;0.67;1
150;0.51;0.62;0.9
200;0.49;0.58;0.84
250;0.47;0.56;0.8
300;0.46;0.54;0.76
350;0.45;0.52;0.72
400;0.44;0.5;0.68
450;0.43;0.48;0.64
500;0.42;0.46;0.6
